data	avg_judgment_no	kri_full	kri2_full	spr_mean_weighted	spr_mean	ham_mean_weighted	ham_mean	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
торжественный	5	0.0829775482	0.2708345801	0.0880967231	0.0880967231	0.3033333333	0.3033333333	300	42	47	93	118	0
трибунал	5	0.2276214492	0.3524696985	0.225927039	0.225927039	0.3916666667	0.3916666667	300	43	37	82	138	0
тройка	5	0.7589705355	0.649200712	0.7629882031	0.7629882031	0.79	0.79	300	146	14	8	132	0
трубка	5	0.8193260355	0.741774981	0.822713453	0.8225446413	0.8439597315	0.8438418079	300	181	7	10	101	1
уклон	5	0.5546308055	0.4301255404	0.558024147	0.5586278554	0.5861486486	0.5865624391	300	141	35	22	100	2
управа	5	0.4264844118	0.4340906554	0.427746695	0.427746695	0.6133333333	0.6133333333	300	65	7	47	181	0
управление	5	0.4458753162	0.3722527288	0.4488179537	0.4488179537	0.5266666667	0.5266666667	300	164	42	33	61	0
участок	5	0.3682784999	0.2678195759	0.3735826954	0.3735826954	0.495	0.495	300	163	38	33	66	0
философ	5	0.0856855637	0.3782887978	0.0854142262	0.0854142262	0.51	0.51	300	8	25	66	201	0
червяк	5	0.5652279036	0.4698686532	0.5801244709	0.5801244709	0.5783333333	0.5783333333	300	158	33	30	79	0
чиновник	5	0.0902356552	0.5512318258	0.0837426335	0.0837426335	0.73	0.73	300	5	11	35	249	0
элемент	5	0.3011248761	0.2361211342	0.3051376949	0.3048628185	0.4429530201	0.4431073446	300	153	56	31	59	1
юношество	5	0.328845	0.4152652756	0.3298167546	0.3304604982	0.5553691275	0.555480226	300	41	24	46	188	1
